Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Care Navigator,Chrome 71.0.3578.98,,2019-01-23 10:53:16,2019-01-23 10:53:49,32.520s,PASSED
,,,,,,
Test Cases/UI/Employee/Care Navigator/Care Navigator Test Cases,Chrome 71.0.3578.98,,2019-01-23 10:53:17,2019-01-23 10:53:49,32.284s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 10:53:17,2019-01-23 10:53:20,3.036s,PASSED
"navigateToUrl(""https://uat.advancedpricing.com/"")",Chrome 71.0.3578.98,,2019-01-23 10:53:20,2019-01-23 10:53:22,1.733s,PASSED
"setText(findTestObject(""UI/Employee/Files/input_AMPS Portal Sign In_code""), ""qaAuto"")",Chrome 71.0.3578.98,,2019-01-23 10:53:22,2019-01-23 10:53:22,0.163s,PASSED
"setEncryptedText(findTestObject(""UI/Employee/Files/input_AMPS Portal Sign In_pass""), ""yjiIhAfFXTz0yohvbOLmCA=="")",Chrome 71.0.3578.98,,2019-01-23 10:53:22,2019-01-23 10:53:22,0.177s,PASSED
"click(findTestObject(""UI/Employee/Files/input_Forgot Password_btn btn-""))",Chrome 71.0.3578.98,,2019-01-23 10:53:22,2019-01-23 10:53:22,0.095s,PASSED
"click(findTestObject(""UI/Employee/Care Navigator/span_Care Navigator""))",Chrome 71.0.3578.98,,2019-01-23 10:53:22,2019-01-23 10:53:23,0.819s,PASSED
"click(findTestObject(""UI/Employee/Care Navigator/Arrow to Write (1)""))",Chrome 71.0.3578.98,,2019-01-23 10:53:23,2019-01-23 10:53:24,0.649s,PASSED
"setText(findTestObject(""UI/Employee/Care Navigator/input_Results_form-control inp""), ""The Benefit Group"")",Chrome 71.0.3578.98,,2019-01-23 10:53:24,2019-01-23 10:53:24,0.788s,PASSED
"click(findTestObject(""UI/Employee/Care Navigator/Arrow to Write""))",Chrome 71.0.3578.98,,2019-01-23 10:53:24,2019-01-23 10:53:25,0.065s,PASSED
