Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Services,Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:42:57,3m - 13.740s,PASSED
,,,,,,
Test Cases/UI/Client/Claim Services/Add_NewClaim,Chrome 71.0.3578.98,Add a new Claim and attach a file to it after it has been created.,2019-01-23 11:39:44,2019-01-23 11:40:55,1m - 11.272s,PASSED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.001s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.000s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.001s,PASSED
"CLAIMNUMBER = ""22222""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.001s,PASSED
"RXDATE = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.000s,PASSED
"BILLCHRG = ""182019""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.000s,PASSED
"PPONAME = ""None""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.001s,PASSED
"UPFILE = ""C:\uploadAMPS\MedRecords-Demo.png""",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:44,0.001s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 11:39:44,2019-01-23 11:39:47,3.011s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 11:39:47,2019-01-23 11:39:49,1.153s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-23 11:39:49,2019-01-23 11:39:50,1.626s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:39:50,2019-01-23 11:39:50,0.051s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-23 11:39:50,2019-01-23 11:39:50,0.146s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-23 11:39:50,2019-01-23 11:39:50,0.138s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:39:50,2019-01-23 11:39:51,0.046s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-23 11:39:51,2019-01-23 11:39:51,0.108s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:39:51,2019-01-23 11:39:51,0.008s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/span_ABMSClient""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:39:51,2019-01-23 11:39:52,1.169s,PASSED
"click(findTestObject(""UI/Client/Claim Services/span_ABMSClient""))",Chrome 71.0.3578.98,,2019-01-23 11:39:52,2019-01-23 11:39:52,0.340s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:39:52,2019-01-23 11:39:52,0.006s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:39:52,2019-01-23 11:39:52,0.031s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""))",Chrome 71.0.3578.98,,2019-01-23 11:39:52,2019-01-23 11:39:52,0.194s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:39:52,2019-01-23 11:39:52,0.007s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:39:52,2019-01-23 11:39:55,3.021s,PASSED
"focus(findTestObject(""UI/Client/Claim Services/NewClaim/h4_termsConditions""))",Chrome 71.0.3578.98,,2019-01-23 11:39:55,2019-01-23 11:39:56,0.088s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:39:56,2019-01-23 11:39:59,3.004s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/button_Accept""))",Chrome 71.0.3578.98,,2019-01-23 11:39:59,2019-01-23 11:39:59,0.532s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:39:59,2019-01-23 11:40:01,2.001s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/span_newClaimHeader""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:40:01,2019-01-23 11:40:01,0.041s,PASSED
"newClaim = getText(findTestObject(""UI/Client/Claim Services/NewClaim/span_newClaimHeader""))",Chrome 71.0.3578.98,,2019-01-23 11:40:01,2019-01-23 11:40:01,0.032s,PASSED
"verifyMatch(newClaim, ""New"", false)",Chrome 71.0.3578.98,,2019-01-23 11:40:01,2019-01-23 11:40:01,0.007s,PASSED
