Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Client Selector,Chrome 71.0.3578.98,,2019-01-21 16:23:05,2019-01-21 16:23:27,21.208s,PASSED
,,,,,,
Test Cases/UI/General/openBrowser,Chrome 71.0.3578.98,,2019-01-21 16:23:06,2019-01-21 16:23:12,6.696s,PASSED
"openBrowser(""https://uat.advancedpricing.com/login"")",Chrome 71.0.3578.98,,2019-01-21 16:23:06,2019-01-21 16:23:11,5.044s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-21 16:23:11,2019-01-21 16:23:12,1.134s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.054s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.048s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.022s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.030s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.029s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.023s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:12,0.028s,PASSED
,,,,,,
Test Cases/UI/General/Employee Login,Chrome 71.0.3578.98,,2019-01-21 16:23:12,2019-01-21 16:23:14,1.406s,PASSED
