Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Account Maintenance - Client,Chrome 71.0.3578.98,,2019-01-22 18:03:24,2019-01-22 18:03:37,12.517s,PASSED
,,,,,,
Test Cases/UI/General/openBrowser,Chrome 71.0.3578.98,,2019-01-22 18:03:25,2019-01-22 18:03:31,6.262s,PASSED
"openBrowser(""https://uat.advancedpricing.com/login"")",Chrome 71.0.3578.98,,2019-01-22 18:03:25,2019-01-22 18:03:29,4.542s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 18:03:29,2019-01-22 18:03:31,1.137s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.073s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.045s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.018s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.029s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.028s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.018s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.026s,PASSED
,,,,,,
Test Cases/UI/General/Client Login,Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:32,1.333s,PASSED
"setText(findTestObject(""UI/General/Page_LoginPage/input_User""), user)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.125s,PASSED
"setText(findTestObject(""UI/General/Page_LoginPage/input_Password""), password)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.150s,PASSED
"click(findTestObject(""UI/General/Page_LoginPage/button_Login""))",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:31,0.090s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_Employee landing page/img_AMPSLogo""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:31,2019-01-22 18:03:32,0.600s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_Employee landing page/img_AMPSLogo""), 5)",Chrome 71.0.3578.98,,2019-01-22 18:03:32,2019-01-22 18:03:32,0.027s,PASSED
