Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login - Employee,Chrome 71.0.3578.98,,2019-01-22 13:47:50,2019-01-22 13:48:06,16.183s,PASSED
,,,,,,
Test Cases/UI/Employee/Client Services/Login/Login - Successful Employee,Chrome 71.0.3578.98,,2019-01-22 13:47:50,2019-01-22 13:47:58,8.627s,PASSED
"openBrowser(""https://uat.advancedpricing.com/login"")",Chrome 71.0.3578.98,,2019-01-22 13:47:50,2019-01-22 13:47:55,4.941s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 13:47:55,2019-01-22 13:47:56,1.165s,PASSED
"waitForElementPresent(findTestObject(""UI/Employee/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.073s,PASSED
"waitForElementVisible(findTestObject(""UI/Employee/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.048s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.031s,PASSED
"waitForElementPresent(findTestObject(""UI/Employee/Client Services/Login/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.018s,PASSED
"waitForElementVisible(findTestObject(""UI/Employee/Client Services/Login/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.028s,PASSED
"waitForElementPresent(findTestObject(""UI/Employee/Client Services/Login/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.020s,PASSED
"waitForElementVisible(findTestObject(""UI/Employee/Client Services/Login/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-22 13:47:56,2019-01-22 13:47:56,0.027s,PASSED
