Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Files,Chrome 71.0.3578.98,,2019-01-23 10:59:53,2019-01-23 11:00:28,34.604s,FAILED
,,,,,,
Test Cases/UI/Employee/Files/Upload file,Chrome 71.0.3578.98,,2019-01-23 10:59:53,2019-01-23 11:00:04,11.152s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 10:59:54,2019-01-23 10:59:57,3.143s,PASSED
"navigateToUrl(""https://uat.advancedpricing.com/"")",Chrome 71.0.3578.98,,2019-01-23 10:59:57,2019-01-23 10:59:58,1.672s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 10:59:58,2019-01-23 11:00:00,1.133s,PASSED
"setText(findTestObject(""UI/Employee/Files/input_AMPS Portal Sign In_code""), ""qaAuto"")",Chrome 71.0.3578.98,,2019-01-23 11:00:00,2019-01-23 11:00:00,0.157s,PASSED
"setEncryptedText(findTestObject(""UI/Employee/Files/input_AMPS Portal Sign In_pass""), ""yjiIhAfFXTz0yohvbOLmCA=="")",Chrome 71.0.3578.98,,2019-01-23 11:00:00,2019-01-23 11:00:00,0.184s,PASSED
"click(findTestObject(""UI/Employee/Files/input_Forgot Password_btn btn-""))",Chrome 71.0.3578.98,,2019-01-23 11:00:00,2019-01-23 11:00:00,0.090s,PASSED
"click(findTestObject(""UI/Employee/Files/a_Files""))",Chrome 71.0.3578.98,,2019-01-23 11:00:00,2019-01-23 11:00:01,0.905s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:00:01,2019-01-23 11:00:04,3.019s,PASSED
today = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:04,0.004s,PASSED
"attribute = getText(findTestObject(""UI/Employee/Files/h1_DateHeader""))",Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:04,0.047s,PASSED
println(attribute),Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:04,0.004s,PASSED
"attribute.contains(today.format(""EEEE"") + "", "" + today.format(""MMMM"") + "" "" + today.format(""dd""))",Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:04,0.003s,PASSED
"attribute.contains(today.format(""yyyy""))",Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:04,0.001s,PASSED
"uploadFile(findTestObject(""UI/Employee/Files/Element_1547578954950""), ""/Users/David Avalos/Downloads/eb61f4ad-6215-4f42-9c70-9ac4439222d1.jpeg"")",Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:04,0.377s,FAILED
,,,,,,
Test Cases/UI/Employee/Files/Uploader,Chrome 71.0.3578.98,,2019-01-23 11:00:04,2019-01-23 11:00:28,23.178s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 11:00:05,2019-01-23 11:00:07,2.801s,PASSED
"navigateToUrl(""https://uat.advancedpricing.com/login?next=%2F"")",Chrome 71.0.3578.98,,2019-01-23 11:00:07,2019-01-23 11:00:09,1.429s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 11:00:09,2019-01-23 11:00:10,1.118s,PASSED
"setText(findTestObject(""UI/Employee/Files/input_AMPS Portal Sign In_code""), ""qaAuto"")",Chrome 71.0.3578.98,,2019-01-23 11:00:10,2019-01-23 11:00:10,0.136s,PASSED
"setEncryptedText(findTestObject(""UI/Employee/Files/input_AMPS Portal Sign In_pass""), ""yjiIhAfFXTz0yohvbOLmCA=="")",Chrome 71.0.3578.98,,2019-01-23 11:00:10,2019-01-23 11:00:10,0.131s,PASSED
"click(findTestObject(""UI/Employee/Files/input_Forgot Password_btn btn-""))",Chrome 71.0.3578.98,,2019-01-23 11:00:10,2019-01-23 11:00:10,0.090s,PASSED
"click(findTestObject(""UI/Employee/Uploader/a_Uploader""))",Chrome 71.0.3578.98,,2019-01-23 11:00:10,2019-01-23 11:00:11,0.818s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:00:11,2019-01-23 11:00:13,2.002s,PASSED
today = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-23 11:00:13,2019-01-23 11:00:13,0.001s,PASSED
"click(findTestObject(""UI/Employee/Uploader/button_Add New User""))",Chrome 71.0.3578.98,,2019-01-23 11:00:13,2019-01-23 11:00:13,0.160s,PASSED
"setText(findTestObject(""UI/Employee/Uploader/Calendar_NewUser""), ""12/12/2020"")",Chrome 71.0.3578.98,,2019-01-23 11:00:13,2019-01-23 11:00:13,0.229s,PASSED
"setText(findTestObject(""UI/Employee/Uploader/input_Name_name""), ""TESTh"")",Chrome 71.0.3578.98,,2019-01-23 11:00:13,2019-01-23 11:00:14,0.128s,PASSED
"sendKeys(null, Keys.chord(TAB))",Chrome 71.0.3578.98,,2019-01-23 11:00:14,2019-01-23 11:00:14,0.065s,PASSED
"click(findTestObject(""UI/Employee/Uploader/input_Name_name""))",Chrome 71.0.3578.98,,2019-01-23 11:00:14,2019-01-23 11:00:14,0.066s,PASSED
"setText(findTestObject(""UI/Employee/Uploader/input_Email_email""), ""test@test.com"")",Chrome 71.0.3578.98,,2019-01-23 11:00:14,2019-01-23 11:00:14,0.203s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:00:14,2019-01-23 11:00:16,2.002s,PASSED
"setText(findTestObject(""UI/Employee/Uploader/input_Email_email""), ""test@test.com"")",Chrome 71.0.3578.98,,2019-01-23 11:00:16,2019-01-23 11:00:16,0.192s,PASSED
"click(findTestObject(""UI/Employee/Uploader/button_Save (1)""))",Chrome 71.0.3578.98,,2019-01-23 11:00:16,2019-01-23 11:00:16,0.100s,PASSED
delay(4),Chrome 71.0.3578.98,,2019-01-23 11:00:16,2019-01-23 11:00:20,4.001s,PASSED
"doubleClick(findTestObject(""UI/Employee/Uploader/strong_User created.""))",Chrome 71.0.3578.98,,2019-01-23 11:00:20,2019-01-23 11:00:20,0.126s,PASSED
"click(findTestObject(""UI/Employee/Uploader/button_Close""))",Chrome 71.0.3578.98,,2019-01-23 11:00:20,2019-01-23 11:00:20,0.106s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:00:20,2019-01-23 11:00:21,1.002s,PASSED
"click(findTestObject(""UI/Employee/Uploader/i_Expires_fa fa-check aria-hid""))",Chrome 71.0.3578.98,,2019-01-23 11:00:21,2019-01-23 11:00:22,0.161s,PASSED
