Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Performance Monitor,Chrome 71.0.3578.98,,2019-01-23 08:23:23,2019-01-23 08:24:00,36.285s,PASSED
,,,,,,
Test Cases/UI/General/openBrowser,Chrome 71.0.3578.98,,2019-01-23 08:23:24,2019-01-23 08:23:30,6.178s,PASSED
"openBrowser(""https://uat.advancedpricing.com/login"")",Chrome 71.0.3578.98,,2019-01-23 08:23:24,2019-01-23 08:23:28,4.502s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 08:23:28,2019-01-23 08:23:30,1.156s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.075s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Client Services/ForgotPassword/a_ForgotPassword""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.051s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/button_Login""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.027s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/input_Password""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.037s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_LoginPage/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_LoginPage/input_User""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.026s,PASSED
,,,,,,
Test Cases/UI/General/Employee Login,Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:31,1.396s,PASSED
"setText(findTestObject(""UI/General/Page_LoginPage/input_User""), user)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.157s,PASSED
"setText(findTestObject(""UI/General/Page_LoginPage/input_Password""), password)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.165s,PASSED
"click(findTestObject(""UI/General/Page_LoginPage/button_Login""))",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:30,0.090s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_Employee landing page/img_AMPSLogo""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:30,2019-01-23 08:23:31,0.611s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_Employee landing page/img_AMPSLogo""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:31,0.030s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_Employee landing page/span_ClientsMenu""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:31,0.022s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_Employee landing page/span_ClientsMenu""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:31,0.077s,PASSED
"waitForElementPresent(findTestObject(""UI/General/Page_Employee landing page/h1_ClientsTitle""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:31,0.019s,PASSED
"waitForElementVisible(findTestObject(""UI/General/Page_Employee landing page/h1_ClientsTitle""), 5)",Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:31,0.028s,PASSED
,,,,,,
Test Cases/UI/Employee/Performance Monitor/Verify there is a change on the graphic,Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:48,16.371s,PASSED
"actualSavings = findTestObject(""UI/Employee/Performance Monitor/Objects Performance Monitor/Page_AMPS Portal/div_979268824"")",Chrome 71.0.3578.98,,2019-01-23 08:23:31,2019-01-23 08:23:31,0.004s,PASSED
