Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 71.0.3578.98,,2019-01-22 21:56:55,2019-01-22 22:08:52,11m - 56.973s,FAILED
,,,,,,
Test Cases/UI/Client/Claim Services/Add_NewClaim,Chrome 71.0.3578.98,Add a new Claim and attach a file to it after it has been created.,2019-01-22 21:56:56,2019-01-22 21:57:32,36.577s,FAILED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.001s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.001s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.002s,PASSED
"CLAIMNUMBER = ""22222""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.001s,PASSED
"RXDATE = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.000s,PASSED
"BILLCHRG = ""182019""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.000s,PASSED
"PPONAME = ""None""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.001s,PASSED
"UPFILE = ""C:\uploadAMPS\MedRecords-Demo.png""",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:56,0.002s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-22 21:56:56,2019-01-22 21:56:59,3.015s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 21:56:59,2019-01-22 21:57:00,1.150s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-22 21:57:00,2019-01-22 21:57:29,28.887s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 21:57:29,2019-01-22 21:57:29,0.066s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-22 21:57:29,2019-01-22 21:57:29,0.151s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-22 21:57:29,2019-01-22 21:57:29,0.140s,PASSED
