Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Rule Editor,Chrome 71.0.3578.98,,2019-01-23 11:04:36,2019-01-23 11:07:44,3m - 8.100s,FAILED
,,,,,,
Test Cases/UI/Client/Rule Editor/Search for Rule Set,Chrome 71.0.3578.98,Search for a Rule Set using valid and invalid data.,2019-01-23 11:04:36,2019-01-23 11:05:20,43.437s,PASSED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.002s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.001s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.057s,PASSED
"CLEAR = """"",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.001s,PASSED
"RULESETNAME = ""Arkansas""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.000s,PASSED
"RULESETNAME2 = ""a""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.001s,PASSED
"INVALIDNAME = ""QWERTY""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.000s,PASSED
"INVALIDNAME2 = ""0000""",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:37,0.001s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 11:04:37,2019-01-23 11:04:40,2.986s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 11:04:40,2019-01-23 11:04:41,1.142s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-23 11:04:41,2019-01-23 11:04:43,1.564s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:04:43,2019-01-23 11:04:43,0.049s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-23 11:04:43,2019-01-23 11:04:43,0.155s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-23 11:04:43,2019-01-23 11:04:43,0.148s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:04:43,2019-01-23 11:04:43,0.044s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-23 11:04:43,2019-01-23 11:04:43,0.095s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:04:43,2019-01-23 11:04:44,1.017s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:04:44,2019-01-23 11:04:44,0.118s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Rule Editor/h1_Clients""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:04:44,2019-01-23 11:04:44,0.028s,PASSED
"pageTitle = getText(findTestObject(""UI/Client/Rule Editor/h1_Clients""))",Chrome 71.0.3578.98,,2019-01-23 11:04:44,2019-01-23 11:04:44,0.038s,PASSED
"verifyMatch(pageTitle, ""Clients"", false)",Chrome 71.0.3578.98,,2019-01-23 11:04:44,2019-01-23 11:04:44,0.007s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:04:44,2019-01-23 11:04:47,3.004s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Rule Editor/span_ruleEditorMenu""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:04:47,2019-01-23 11:04:47,0.055s,PASSED
"click(findTestObject(""UI/Client/Rule Editor/span_ruleEditorMenu""))",Chrome 71.0.3578.98,,2019-01-23 11:04:47,2019-01-23 11:04:48,0.153s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:04:48,2019-01-23 11:04:49,1.002s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:04:49,2019-01-23 11:04:49,0.026s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Rule Editor/h1_ruleEditor""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:04:49,2019-01-23 11:04:49,0.027s,PASSED
"pageTitle = getText(findTestObject(""UI/Client/Rule Editor/h1_ruleEditor""))",Chrome 71.0.3578.98,,2019-01-23 11:04:49,2019-01-23 11:04:49,0.039s,PASSED
"verifyMatch(pageTitle, ""Rule Editor"", false)",Chrome 71.0.3578.98,,2019-01-23 11:04:49,2019-01-23 11:04:49,0.002s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:04:49,2019-01-23 11:04:52,3.003s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:04:52,2019-01-23 11:04:52,0.072s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), RULESETNAME)",Chrome 71.0.3578.98,,2019-01-23 11:04:52,2019-01-23 11:04:52,0.234s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:04:52,2019-01-23 11:04:55,3.003s,PASSED
"verifyElementNotPresent(findTestObject(""UI/Client/Rule Editor/Search Rule Set/div_noSearchResults""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:04:55,2019-01-23 11:04:55,0.068s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), CLEAR)",Chrome 71.0.3578.98,,2019-01-23 11:04:55,2019-01-23 11:04:55,0.055s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:04:55,2019-01-23 11:04:58,3.002s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), RULESETNAME2)",Chrome 71.0.3578.98,,2019-01-23 11:04:58,2019-01-23 11:04:58,0.128s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:04:58,2019-01-23 11:05:01,3.002s,PASSED
"verifyElementNotPresent(findTestObject(""UI/Client/Rule Editor/Search Rule Set/div_noSearchResults""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:01,2019-01-23 11:05:01,0.020s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), CLEAR)",Chrome 71.0.3578.98,,2019-01-23 11:05:01,2019-01-23 11:05:01,0.071s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:01,2019-01-23 11:05:04,3.002s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), INVALIDNAME)",Chrome 71.0.3578.98,,2019-01-23 11:05:04,2019-01-23 11:05:04,0.198s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:04,2019-01-23 11:05:07,3.002s,PASSED
"verifyElementPresent(findTestObject(""UI/Client/Rule Editor/Search Rule Set/div_noSearchResults""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:07,2019-01-23 11:05:08,0.048s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), CLEAR)",Chrome 71.0.3578.98,,2019-01-23 11:05:08,2019-01-23 11:05:08,0.058s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:08,2019-01-23 11:05:11,3.002s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), INVALIDNAME2)",Chrome 71.0.3578.98,,2019-01-23 11:05:11,2019-01-23 11:05:11,0.250s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:11,2019-01-23 11:05:14,3.001s,PASSED
"verifyElementPresent(findTestObject(""UI/Client/Rule Editor/Search Rule Set/div_noSearchResults""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:14,2019-01-23 11:05:14,0.045s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Search Rule Set/input_searchRuleSet""), CLEAR)",Chrome 71.0.3578.98,,2019-01-23 11:05:14,2019-01-23 11:05:14,0.058s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:14,2019-01-23 11:05:17,3.003s,PASSED
"waitForElementClickable(findTestObject(""UI/General/Log/a_userAvatar""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:17,2019-01-23 11:05:17,0.056s,PASSED
"click(findTestObject(""UI/General/Log/a_userAvatar""))",Chrome 71.0.3578.98,,2019-01-23 11:05:17,2019-01-23 11:05:17,0.062s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:05:17,2019-01-23 11:05:18,1.002s,PASSED
"waitForElementClickable(findTestObject(""UI/General/Log/a_signOutAMPS""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:18,2019-01-23 11:05:18,0.053s,PASSED
"click(findTestObject(""UI/General/Log/a_signOutAMPS""))",Chrome 71.0.3578.98,,2019-01-23 11:05:18,2019-01-23 11:05:18,0.121s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:05:18,2019-01-23 11:05:19,1.003s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-23 11:05:19,2019-01-23 11:05:20,0.675s,PASSED
,,,,,,
Test Cases/UI/Client/Rule Editor/Create New Rule Set,Chrome 71.0.3578.98,Create a new Rule Set with rules in it and create another new Rule Set without any rules.,2019-01-23 11:05:20,2019-01-23 11:06:03,43.253s,FAILED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"RULESETNAME = ""AAAA Rule Set""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"VALIDFROM = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"VALIDTO = ""01/30/2019""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"RULESETTYPE = ""Claim""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"RULENAME = ""First Rule""",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:20,0.000s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 11:05:20,2019-01-23 11:05:23,2.325s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 11:05:23,2019-01-23 11:05:24,1.147s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-23 11:05:24,2019-01-23 11:05:25,1.572s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:05:25,2019-01-23 11:05:25,0.007s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-23 11:05:25,2019-01-23 11:05:25,0.135s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-23 11:05:25,2019-01-23 11:05:26,0.144s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:26,2019-01-23 11:05:26,0.029s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-23 11:05:26,2019-01-23 11:05:26,0.088s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:05:26,2019-01-23 11:05:27,1.003s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:05:27,2019-01-23 11:05:27,0.106s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Rule Editor/h1_Clients""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:27,2019-01-23 11:05:27,0.018s,PASSED
"pageTitle = getText(findTestObject(""UI/Client/Rule Editor/h1_Clients""))",Chrome 71.0.3578.98,,2019-01-23 11:05:27,2019-01-23 11:05:27,0.028s,PASSED
"verifyMatch(pageTitle, ""Clients"", false)",Chrome 71.0.3578.98,,2019-01-23 11:05:27,2019-01-23 11:05:27,0.001s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:27,2019-01-23 11:05:30,3.002s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Rule Editor/span_ruleEditorMenu""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:30,2019-01-23 11:05:30,0.065s,PASSED
"click(findTestObject(""UI/Client/Rule Editor/span_ruleEditorMenu""))",Chrome 71.0.3578.98,,2019-01-23 11:05:30,2019-01-23 11:05:30,0.211s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:05:30,2019-01-23 11:05:31,1.001s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:05:31,2019-01-23 11:05:31,0.027s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Rule Editor/h1_ruleEditor""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:31,2019-01-23 11:05:31,0.043s,PASSED
"pageTitle = getText(findTestObject(""UI/Client/Rule Editor/h1_ruleEditor""))",Chrome 71.0.3578.98,,2019-01-23 11:05:31,2019-01-23 11:05:31,0.035s,PASSED
"verifyMatch(pageTitle, ""Rule Editor"", false)",Chrome 71.0.3578.98,,2019-01-23 11:05:31,2019-01-23 11:05:31,0.001s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:31,2019-01-23 11:05:34,3.001s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Rule Editor/Create Rule Set/a_createNewRuleSet""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:34,2019-01-23 11:05:34,0.028s,PASSED
"click(findTestObject(""UI/Client/Rule Editor/Create Rule Set/a_createNewRuleSet""))",Chrome 71.0.3578.98,,2019-01-23 11:05:34,2019-01-23 11:05:34,0.164s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-23 11:05:34,2019-01-23 11:05:35,1.002s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 11:05:35,2019-01-23 11:05:35,0.026s,PASSED
"waitForElementPresent(findTestObject(""UI/Client/Rule Editor/Create Rule Set/h2_newRulesetForm""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:35,2019-01-23 11:05:35,0.030s,PASSED
"formTitle = getText(findTestObject(""UI/Client/Rule Editor/Create Rule Set/h2_newRulesetForm""))",Chrome 71.0.3578.98,,2019-01-23 11:05:35,2019-01-23 11:05:35,0.050s,PASSED
"verifyMatch(formTitle, ""New Ruleset"", false)",Chrome 71.0.3578.98,,2019-01-23 11:05:35,2019-01-23 11:05:35,0.001s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:05:35,2019-01-23 11:05:38,3.001s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Rule Editor/Create Rule Set/input_ruleSetName""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:38,2019-01-23 11:05:39,0.085s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Create Rule Set/input_ruleSetName""), RULESETNAME)",Chrome 71.0.3578.98,,2019-01-23 11:05:39,2019-01-23 11:05:39,0.202s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:05:39,2019-01-23 11:05:41,2.003s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Rule Editor/Create Rule Set/input_validFromDate""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:41,2019-01-23 11:05:41,0.071s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Create Rule Set/input_validFromDate""), VALIDFROM)",Chrome 71.0.3578.98,,2019-01-23 11:05:41,2019-01-23 11:05:41,0.213s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:05:41,2019-01-23 11:05:43,2.001s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Rule Editor/Create Rule Set/input_validToDate""), 5)",Chrome 71.0.3578.98,,2019-01-23 11:05:43,2019-01-23 11:05:43,0.069s,PASSED
"setText(findTestObject(""UI/Client/Rule Editor/Create Rule Set/input_validToDate""), VALIDTO)",Chrome 71.0.3578.98,,2019-01-23 11:05:43,2019-01-23 11:05:43,0.195s,PASSED
