Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
user editor,Chrome 71.0.3578.98,,2019-01-23 11:08:48,2019-01-23 11:12:08,3m - 20.102s,FAILED
,,,,,,
Test Cases/UI/Employee/Users Editor/Create not an AMPS user normal customer,Chrome 71.0.3578.98,,2019-01-23 11:08:48,2019-01-23 11:09:29,40.258s,PASSED
"callTestCase(findTestCase(""UI/General/AdminLogin""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-23 11:08:49,2019-01-23 11:08:56,7.120s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/span_Users""))",Chrome 71.0.3578.98,,2019-01-23 11:08:56,2019-01-23 11:08:56,0.856s,PASSED
"verifyElementClickable(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/a_Create New User""))",Chrome 71.0.3578.98,,2019-01-23 11:08:56,2019-01-23 11:08:57,0.077s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/a_Create New User""))",Chrome 71.0.3578.98,,2019-01-23 11:08:57,2019-01-23 11:08:57,0.343s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-23 11:08:57,2019-01-23 11:09:02,5.007s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/span_customer_Select-arrow""))",Chrome 71.0.3578.98,,2019-01-23 11:09:02,2019-01-23 11:09:02,0.265s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:09:02,2019-01-23 11:09:04,2.003s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ARROW_DOWN))",Chrome 71.0.3578.98,,2019-01-23 11:09:04,2019-01-23 11:09:04,0.104s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 11:09:04,2019-01-23 11:09:06,2.003s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-23 11:09:06,2019-01-23 11:09:06,0.063s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 11:09:06,2019-01-23 11:09:09,3.001s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/span_Select..._Select-arrow""))",Chrome 71.0.3578.98,,2019-01-23 11:09:09,2019-01-23 11:09:10,0.172s,PASSED
"sendKeys(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/INPUT_dropdown_Role""), ""ameriben"")",Chrome 71.0.3578.98,,2019-01-23 11:09:10,2019-01-23 11:09:10,0.184s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/Selector_Role_Always_Option1""))",Chrome 71.0.3578.98,,2019-01-23 11:09:10,2019-01-23 11:09:10,0.098s,PASSED
delay(4),Chrome 71.0.3578.98,,2019-01-23 11:09:10,2019-01-23 11:09:14,4.003s,PASSED
"setText(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/input_User Code_code""), ""TestAmer"")",Chrome 71.0.3578.98,,2019-01-23 11:09:14,2019-01-23 11:09:14,0.273s,PASSED
"setText(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/input_Email_email""), ""Mike@ameriben.com"")",Chrome 71.0.3578.98,,2019-01-23 11:09:14,2019-01-23 11:09:14,0.396s,PASSED
"setText(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/input_First Name_firstName""), ""Mike"")",Chrome 71.0.3578.98,,2019-01-23 11:09:14,2019-01-23 11:09:15,0.175s,PASSED
"setText(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/input_Last Name_lastName""), ""Woazosky"")",Chrome 71.0.3578.98,,2019-01-23 11:09:15,2019-01-23 11:09:15,0.252s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/a_Access""))",Chrome 71.0.3578.98,,2019-01-23 11:09:15,2019-01-23 11:09:15,0.095s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-23 11:09:15,2019-01-23 11:09:20,5.003s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/span_All Groups""))",Chrome 71.0.3578.98,,2019-01-23 11:09:20,2019-01-23 11:09:20,0.135s,PASSED
"click(findTestObject(""UI/Employee/user detail/Create new User/Page_AMPS Portal/a_""))",Chrome 71.0.3578.98,,2019-01-23 11:09:20,2019-01-23 11:09:20,0.081s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-23 11:09:20,2019-01-23 11:09:25,5.004s,PASSED
